vote	source
2	https://equestria.social/@DoodleDonut/111961099628655773
2	https://pone.social/@Maretian/111966005652206338
1	https://equestria.social/@ludeka/111964543304034220
2	https://equestria.social/@ludeka/111952407230939083
2	https://pone.social/@thebatfang/111965056349305287
1	https://equestria.social/@zutcha/111965507152666101
2	https://mastodon.art/@AlexDTI/111964626264357208
3	https://equestria.social/@cobaltskies002/111964550955734558
1	https://socel.net/@cutepencilcase/111964812817849392
1	https://equestria.social/@eve/111964355624330931
2	https://equestria.social/@ElusivePurple/111959125955439136
2	https://hooves.social/notes/9pvg9qzte5vch8sx
2	https://meow.social/@BaronEngel/111965330459926494
2	https://equestria.social/@memprices/111966536740739384
2	https://equestria.social/@Juby_Skylines/111972760249490518
1	https://mastodon.ml/@Ekaterina/111975870850959550
2	https://equestria.social/@CoffeeCal/111975731018368097
2	https://mastodon.art/@AlexDTI/111975924453772035
2	https://equestria.social/@belkasempai/111975588408759933
3	https://pone.social/@thebatfang/111978733579126209
3	https://meow.social/@SinfulHare/111977416132474042
2	https://equestria.social/@yoshter7/111977131068728828
4	https://equestria.social/@ludeka/111981347150893228
3	https://equestria.social/@Nitobit/111980708629097781
2	https://meow.social/@SinfulHare/111981627919327992
4	https://equestria.social/@DoodleDonut/111972855268054906
3	https://equestria.social/@GnashieArts/111985435652122830
3	https://pone.social/@thebatfang/111984068071097306
4	https://equestria.social/@DoodleDonut/111984115052253146
1	https://pone.social/@spoon/111982521736975482
3	https://socel.net/@cutepencilcase/111986813452628898
4	https://equestria.social/@thatonegib/111988264809325090
3	https://equestria.social/@shootingstar/111987871217284917
